Material,Degree,Time
Carpet,15,1.13
Carpet,15,1.04
Carpet,15,1.09
Carpet,15,1.25
Carpet,15,1.03
Metal,15,1.02
Metal,15,1.00
Metal,15,1.02
Metal,15,1.20
Metal,15,1.11
Cardboard,15,0.84
Cardboard,15,0.87
Cardboard,15,1.05
Cardboard,15,0.92
Cardboard,15,1.04
Carpet,30,0.68
Carpet,30,0.71
Carpet,30,0.63
Carpet,30,0.48
Carpet,30,0.60
Metal,30,0.76
Metal,30,0.53
Metal,30,0.65
Metal,30,0.70
Metal,30,0.70
Cardboard,30,0.51
Cardboard,30,0.50
Cardboard,30,0.63
Cardboard,30,0.56
Cardboard,30,0.55
Carpet,45,0.55
Carpet,45,0.65
Carpet,45,0.68
Carpet,45,0.72
Carpet,45,0.68
Metal,45,0.59
Metal,45,0.61
Metal,45,0.66
Metal,45,0.55
Metal,45,0.70
Cardboard,45,0.64
Cardboard,45,0.78
Cardboard,45,0.67
Cardboard,45,0.61
Cardboard,45,0.56